OBČINE,2022 Naravni prirast na 1.000 prebivalcev,2021 Bruto prejeti dohodek - SKUPAJ,Ratio 0-20 let,Index
Celje,0.7715736040609137,0.4478052192742521,0.5111044417506843,0.5768277550286166
Vransko,0.6649746192893401,0.3971672201074706,0.6784815797001039,0.5802078063656383
Prebold,0.6624365482233503,0.4737735912125612,0.6046713421353673,0.5802938271904262
Polzela,0.6269035532994924,0.4851337348326918,0.6300923140420925,0.5807098673914256
Zagorje ob Savi,0.7461928934010152,0.4456137404418341,0.551949078620519,0.5812519041544562
Koper/Capodistria,0.7690355329949239,0.4601885421855599,0.5151764043649859,0.5814668265151566
Cerkvenjak,0.8477157360406091,0.3355416613333615,0.5625178079305051,0.5819250684348253
Semič,0.799492385786802,0.3881045420192423,0.5582648115765763,0.5819539131275402
Podčetrtek,0.8248730964467005,0.2958463812472026,0.6275328924745249,0.5827507900561427
Kostanjevica na Krki,0.7005076142131981,0.4917921454072294,0.5572073232983932,0.5831690276396069
Ankaran/Ancarano,0.7233502538071066,0.6575357766256932,0.3751914650491901,0.5853591651606632
Nazarje,0.8451776649746192,0.3823176682273888,0.5307198689822136,0.5860717340614072
Pivka,0.7842639593908629,0.4171620186063727,0.5568405563111143,0.58608884476945
Bohinj,0.7690355329949239,0.4977184324730203,0.4954011688635323,0.5873850447771588
Šempeter - Vrtojba,0.7918781725888325,0.4775100300105415,0.4940069425446942,0.5877983817146893
Radovljica,0.6776649746192893,0.5141153901655756,0.5734491052698504,0.5884098233515718
Miren - Kostanjevica,0.8248730964467005,0.4015444707961803,0.5406304606682163,0.589016009303699
Hrpelje - Kozina,0.8147208121827412,0.4522468772649562,0.5010533701581343,0.5893403532019439
Mislinja,0.7791878172588833,0.4523960739265382,0.5394526799899426,0.5903455237251214
Žalec,0.83248730964467,0.415590969607091,0.5263865188198055,0.5914882660238555
Muta,0.83248730964467,0.4139930162917862,0.5280722668039468,0.5915175309134676
Šmarje pri Jelšah,0.7969543147208121,0.3321598703375024,0.6495083407659477,0.5928741752747541
Gorje,0.8147208121827412,0.3895239485100308,0.5791652508015984,0.5944700038314568
SLOVENIJA,0.766497461928934,0.4642894121733061,0.5537977534518472,0.5948615425180291
Slovenske Konjice,0.7817258883248731,0.4025864015803432,0.6042261220873099,0.5961794706641754
Miklavž na Dravskem polju,0.8401015228426396,0.428499334321999,0.5210654406787852,0.5965554326144745
Sveti Andraž v Slov. goricah,0.868020304568528,0.2985629018832206,0.6259661714636358,0.5975164593051281
Šentjur,0.8121827411167513,0.4003688337142061,0.5969088955312903,0.6031534901207493
Vuzenica,0.901015228426396,0.3956964508315471,0.5171018746557478,0.6046045179712304
Ravne na Koroškem,0.8807106598984773,0.4623710529126368,0.4714132988826478,0.6048316705645873
Oplotnica,0.7944162436548223,0.3754692968760829,0.6453978849901497,0.605094475173685
Divača,0.883248730964467,0.4287822372813922,0.5143571454438973,0.6087960378965854
Zreče,0.852791878172589,0.4288653960763723,0.5484339866210265,0.6100304202899959
Velenje,0.8248730964467005,0.4348675043964098,0.5774367090028335,0.6123924366153145
Horjul,0.5456852791878173,0.4794438796349818,0.8135717563922407,0.6129003050716799
Cerkno,0.8299492385786803,0.4298690085922603,0.5808506332086358,0.6135562934598588
Litija,0.7969543147208121,0.4355825069767784,0.608523422188642,0.6136867479620775
Hajdina,0.8908629441624366,0.4033454294051129,0.5475542056426913,0.6139208597367469
Bled,0.7918781725888325,0.6073258006683683,0.4453382864838198,0.6148474199136735
Krško,0.7817258883248731,0.4400983556571216,0.6231044395340692,0.614976227838688
Markovci,0.9238578680203046,0.3841985245020868,0.5451414886080519,0.6177326270434811
Mežica,0.7817258883248731,0.640917877428828,0.4311629057883936,0.6179355571806983
Cerknica,0.7411167512690355,0.4729012391475735,0.6401473482813239,0.6180551128993109
Slovenj Gradec,0.7969543147208121,0.4705972513572412,0.5871312919679897,0.618227619348681
Slovenska Bistrica,0.8096446700507615,0.4479120212560402,0.601715994519526,0.6197575619421092
Trnovska vas,0.8426395939086295,0.2608552800535477,0.7610084450341948,0.621501106332124
Preddvor,0.6192893401015228,0.5402492644115415,0.7059129579741379,0.6218171874957341
Šmarješke Toplice,0.6802030456852792,0.5941223037595112,0.6061161878750531,0.6268138457732811
Šmartno ob Paki,0.8248730964467005,0.4739448004963438,0.5904063950583441,0.6297414306671295
Dobrna,0.868020304568528,0.383457432887999,0.6508659168715353,0.6341145514426874
Dolenjske Toplice,0.7817258883248731,0.4963210386044324,0.6272346082854041,0.6350938450715699
Straža,0.8172588832487311,0.5118211857628882,0.578513426564599,0.6358644985254062
Naklo,0.7309644670050762,0.5314857949287811,0.6565329711970658,0.6396610777103077
Ljubljana,0.8045685279187818,0.6066646067200461,0.5085632453418408,0.6399321266602228
Postojna,0.7842639593908629,0.4646375377169975,0.672184581050872,0.6403620260529108
Ajdovščina,0.802030456852792,0.4264766189264526,0.7034883063879512,0.6439984607223986
Kranj,0.8172588832487311,0.4967482465315853,0.6277500077121063,0.6472523791641409
Mozirje,0.883248730964467,0.4350248538810292,0.633409107080859,0.650560897308785
Braslovče,0.7893401015228427,0.5352613672773403,0.6458027934166934,0.6568014207389589
Cerklje na Gorenjskem,0.7487309644670052,0.5066270222058442,0.7181064003939707,0.6578214623556066
Vipava,0.8197969543147208,0.4049825162709967,0.7489725310485251,0.6579173338780808
Ribnica,0.8172588832487311,0.4648772307142933,0.7010250631240101,0.6610537256956781
Rače - Fram,0.8705583756345178,0.4669594617180118,0.6528313498928204,0.6634497290817833
Kamnik,0.8197969543147208,0.4875110980303594,0.6836717210325179,0.6636599244591994
Kranjska Gora,0.7208121827411167,1.0,0.2736050132019516,0.6648057319810228
Dobje,0.9314720812182742,0.3491731814516753,0.7497565543168866,0.6768006056622787
Velike Lašče,0.8197969543147208,0.4825166786377284,0.7294349371046605,0.6772495233523698
Log - Dragomer,0.8730964467005076,0.6640645573139383,0.4985903688644255,0.6785837909596237
Mengeš,0.766497461928934,0.5644655946791415,0.7056057870982057,0.6788562812354271
Žirovnica,0.8654822335025382,0.5966708762409616,0.5751740079530139,0.6791090392321713
Škocjan,0.766497461928934,0.3940422430372853,0.8780218392492528,0.6795205147384906
Žiri,0.8654822335025382,0.468970763161306,0.7072986802144124,0.6805838922927522
Benedikt,0.9365482233502538,0.3301501994588156,0.7799312670257043,0.6822098966115911
Mirna Peč,0.7766497461928935,0.4869436615469656,0.7863025084193528,0.6832986387197373
Borovnica,0.8401015228426396,0.4444739757812239,0.7719923300878474,0.6855226095705703
Sodražica,0.8807106598984773,0.3663642241080608,0.8114778392801018,0.6861842410955467
Vrhnika,0.8350253807106599,0.5211129581784636,0.7039767571037336,0.686705031997619
Mokronog - Trebelno,0.8959390862944162,0.4346212891406843,0.7371052005720062,0.6892218586690356
Ig,0.8071065989847717,0.4691061000237246,0.7941501828768904,0.6901209606284623
Jezersko,0.8629441624365483,0.5770820883293153,0.6352380802247387,0.6917547769968674
Brezovica,0.7360406091370558,0.5673117452014522,0.7730047096399905,0.6921190213261662
Žužemberk,0.9441624365482234,0.4292575468644651,0.7059143573443775,0.6931114469190219
Medvode,0.8197969543147208,0.5935752493337105,0.6664641834072289,0.6932787956852201
Trebnje,0.8223350253807107,0.5193747763069179,0.7401049461419477,0.6939382492765254
Trzin,0.6954314720812182,0.7303241807024311,0.6669902890888431,0.6975819806241642
Železniki,0.850253807106599,0.4849372517974936,0.7620991087936129,0.6990967225659018
Mirna,0.8730964467005076,0.5845680104421358,0.6459063091904396,0.7011902554443609
Domžale,0.8426395939086295,0.5739342833546258,0.7127021643736022,0.7097586805456192
Škofja Loka,0.8604060913705583,0.5799836780482793,0.6929947890737999,0.7111281861642125
Novo mesto,0.8477157360406091,0.5963896038461759,0.6957018153465266,0.7132690517444372
Logatec,0.83248730964467,0.4992682841324051,0.8093477365185529,0.7137011100985426
Šenčur,0.8781725888324874,0.5544164250034038,0.741422631679891,0.7246705485052608
Šentjernej,0.9111675126903552,0.474496746615967,0.7973672788813185,0.7276771793958803
Tabor,1.0,0.4256148655314133,0.7659109347493313,0.7305086000935815
Moravče,0.9314720812182742,0.439697236763688,0.8350165569523424,0.7353952916447682
Dobrova - Polhov Gradec,0.9213197969543148,0.4904249169838793,0.8044843809167694,0.7387430316183211
Lukovica,0.9441624365482234,0.4382721232967734,0.8348411352115785,0.7390918983521918
Dol pri Ljubljani,0.8477157360406091,0.5796037564947426,0.8035203808174123,0.743613291117588
Grosuplje,0.83248730964467,0.6245372253823469,0.7797436577542043,0.7455893975937404
Ivančna Gorica,0.916243654822335,0.5109300822049146,0.8139698837218051,0.7470478735830183
Škofljica,0.8477157360406091,0.6275480629300104,0.8016358642053518,0.7589665543919905
Gorenja vas - Poljane,0.8959390862944162,0.3863345641378511,1.0,0.7607578834774223
Vodice,0.9060913705583756,0.6242820420212806,0.8401972258360395,0.7901902128052319
Komenda,0.964467005076142,0.6059438971635515,0.9316926058537596,0.8340345026978176
