"OBČINE",Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2006,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2007,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2008,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2009,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2010,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2011,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2012,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2013,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2014,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2015,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2016,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2017,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2018,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2019,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2020,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2021,Obsojeni polnoletni in mladoletni na 1000 prebivalcev 2022
"Destrnik",3.8,6.4,4.9,5.6,3.0,3.0,6.2,4.6,3.9,0,3.5,3.5,1.5,1.9,0,2.6,3.4
"Divača",2.6,1.5,4.2,2.3,2.6,0.8,3.3,3.5,5.1,3.6,3.3,1.3,1.7,1.0,0,0.9,0
"Dobje",0.0,0.0,0.0,0.0,0,0,0,3.1,0,4.1,0.0,0,4.2,0,5.3,0.0,0
"Dobrepolje",0,1.9,2.4,3.1,2.3,0,0,3.3,1.8,2.0,3.1,3.1,1.6,2.1,0,1.3,2.8
"Dobrna",0,1.9,0,2.8,4.5,2.7,1.8,3.2,2.3,2.3,3.1,4.9,3.6,3.6,0,2.6,2.6
"Dobrova - Polhov Gradec",0,0,0,0.8,0.4,0,1.1,0.7,0.7,1.3,1.6,0.4,0.5,1.2,0,1.4,1.1
"Dobrovnik/Dobronak",3.6,4.3,5.1,2.2,7.6,2.2,2.2,4.7,4.7,0,0,8.7,2.3,3.1,0,3.9,0
"Dol pri Ljubljani",1.0,2.0,0.8,1.1,2.6,0.9,0.9,2.1,2.2,3.4,1.7,2.0,1.1,2.2,0.6,1.3,0.9
"Dolenjske Toplice",2.0,2.6,3.5,3.8,4.4,2.4,3.8,3.8,2.6,3.0,3.2,2.3,2.0,0,1.4,1.1,0
"Domžale",3.5,3.6,5.5,2.8,2.8,3.2,3.2,4.4,3.1,2.8,3.3,2.3,2.1,2.3,1.5,2.2,1.2
