"OBČINE",2022 Živorojeni - Skupaj,2022 Živorojeni - moški,2022 Živorojeni - ženske,2022 Umrli - Skupaj,2022 Umrli - moški,2022 Umrli - ženske,2022 Naravni prirast - Skupaj,2022 Naravni prirast - moški,2022 Naravni prirast - ženske,2022 Živorojeni na 1.000 prebivalcev,2022 Umrli na 1.000 prebivalcev,2022 Naravni prirast na 1.000 prebivalcev
"Šmartno pri Litiji",64,31,33,111,46,65,-47,-15,-32,11.2,19.4,-8.2
"Šoštanj",80,43,37,165,88,77,-85,-45,-40,9.0,18.6,-9.6
"Štore",30,13,17,111,52,59,-81,-39,-42,6.8,25.1,-18.3
"Tabor",24,14,10,12,5,7,12,9,3,13.9,6.9,6.9
"Tišina",27,20,7,33,16,17,-6,4,-10,6.8,8.4,-1.5
"Tolmin",76,41,35,157,76,81,-81,-35,-46,7.0,14.4,-7.4
"Trbovlje",114,61,53,249,108,141,-135,-47,-88,7.2,15.7,-8.5
"Trebnje",145,68,77,147,63,84,-2,5,-7,10.8,10.9,-0.1
"Trnovska vas",11,6,5,10,3,7,1,3,-2,7.8,7.1,0.7
"Trzin",29,12,17,49,22,27,-20,-10,-10,7.4,12.5,-5.1
"Tržič",135,68,67,168,90,78,-33,-22,-11,9.0,11.2,-2.2
"Turnišče",21,14,7,27,12,15,-6,2,-8,6.6,8.5,-1.9
"Velenje",278,147,131,278,157,121,0,-10,10,8.3,8.3,0.0
"Velika Polana",9,4,5,24,13,11,-15,-9,-6,6.4,17.1,-10.7
"Velike Lašče",41,16,25,42,29,13,-1,-13,12,9.0,9.2,-0.2
"Veržej",10,2,8,16,13,3,-6,-11,5,7.3,11.7,-4.4
"Videm",35,17,18,57,29,28,-22,-12,-10,6.2,10.1,-3.9
"Vipava",65,33,32,66,28,38,-1,5,-6,11.2,11.3,-0.2
"Vitanje",15,10,5,20,11,9,-5,-1,-4,6.7,8.9,-2.2
"Vodice",46,20,26,30,16,14,16,4,12,9.1,6.0,3.2
"Vojnik",80,44,36,136,70,66,-56,-26,-30,8.8,15.0,-6.2
"Vransko",26,16,10,43,18,25,-17,-2,-15,9.7,16.0,-6.3
"Vrhnika",161,66,95,154,73,81,7,-7,14,9.0,8.6,0.4
"Vuzenica",29,15,14,21,15,6,8,0,8,10.9,7.9,3.0
"Zagorje ob Savi",137,66,71,187,97,90,-50,-31,-19,8.4,11.4,-3.1
"Zavrč",12,6,6,10,8,2,2,-2,4,8.0,6.7,1.3
"Zreče",59,29,30,52,30,22,7,-1,8,9.0,7.9,1.1
"Žalec",176,79,97,170,96,74,6,-17,23,8.2,7.9,0.3
"Železniki",67,41,26,60,35,25,7,6,1,10.0,9.0,1.0
"Žetale",11,7,4,9,4,5,2,3,-1,8.5,6.9,1.5
"Žiri",57,34,23,49,26,23,8,8,0,11.4,9.8,1.6
"Žirovnica",45,25,20,38,21,17,7,4,3,10.0,8.5,1.6
"Žužemberk",66,33,33,44,20,24,22,13,9,14.1,9.4,4.7
